orgunitlevel1,orgunitlevel2,orgunitlevel3,orgunitlevel4,orgunitlevel5,organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,A. Pre-primary and Primary School Census Form - Actual reports,A. Pre-primary and Primary School Census Form - Expected reports,datasetuid,datasets_name,A. Junior Secondary School Census Form - Actual reports,A. Junior Secondary School Census Form - Expected reports,A. Adult and Non Formal Education (IQS/IQTE) Census Form - Actual reports,A. Adult and Non Formal Education (IQS/IQTE) Census Form - Expected reports,A. Private School Census Form - Actual reports,A. Private School Census Form - Expected reports,A. Science and Technical Colleges/ Vocational Education Census Form - Actual reports,A. Science and Technical Colleges/ Vocational Education Census Form - Expected reports,A. Senior Secondary School Census Form - Actual reports,A. Senior Secondary School Census Form - Expected reports
fg Nigeria,kd Kaduna State,kd Zangon Kataf Local Government Area,kd Madakiya Ward,PRY Lgea Maniya (1922138120),fVD8vbwrpqR,PRY Lgea Maniya (1922138120),1922138120,,1.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Sanga Local Government Area,kd Bokana Ward,PRY Lgea Mantur (1920063120),P58ViE7GXs1,PRY Lgea Mantur (1920063120),1920063120,,1.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Kajuru Local Government Area,kd Kufana Ward,PRY Lgea Maraban Kajuru (1914099120),Lc6h4dVOja6,PRY Lgea Maraban Kajuru (1914099120),1914099120,,1.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Giwa Local Government Area,kd Gangara Ward,PRY Lgea Maraban Yakawada (1903087120),yorJjrtnBDx,PRY Lgea Maraban Yakawada (1903087120),1903087120,,0.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Lere Local Government Area,kd Abadawa Ward,PRY Lgea Maresu (1917147120),fKUAeGTq18Q,PRY Lgea Maresu (1917147120),1917147120,,0.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Kagarko Local Government Area,kd Kushe Ward,PRY Lgea Marke Primary School (1911130120),EcYLobZyuTN,PRY Lgea Marke Primary School (1911130120),1911130120,,1.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Makarfi Local Government Area,kd Dandamisa Ward,PRY Lgea Marke Primary School (1918042120),aledi7q35Gn,PRY Lgea Marke Primary School (1918042120),1918042120,,0.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Kubau Local Government Area,kd Kargi Ward,PRY Lgea Marmara Primary School Marmara (1915076120),wnZ2AF5DmYr,PRY Lgea Marmara Primary School Marmara (1915076120),1915076120,,0.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Kajuru Local Government Area,kd Maro Ward,PRY Lgea Maro (1914100120),p1nZeapUVfm,PRY Lgea Maro (1914100120),1914100120,,1.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Zangon Kataf Local Government Area,kd Ungwar Rimi Ward,PRY Lgea Marsa 1 (1922139120),fwEYEp2s6G0,PRY Lgea Marsa 1 (1922139120),1922139120,,1.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Zangon Kataf Local Government Area,kd Ungwar Rimi Ward,PRY Lgea Marsa 11 (1922140120),eHyAOvseRPm,PRY Lgea Marsa 11 (1922140120),1922140120,,1.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Soba Local Government Area,kd Kinkiba Ward,PRY Lgea Marwa Primary School (1921082120),EwajjX6qj0i,PRY Lgea Marwa Primary School (1921082120),1921082120,,0.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Kauru Local Government Area,kd Geshere Ward,PRY Lgea Masan (1913147120),yji2rOYMKyw,PRY Lgea Masan (1913147120),1913147120,,1.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Zangon Kataf Local Government Area,kd Zonkwa Ward,PRY Lgea Masat (1922141120),gHT37vpkVRK,PRY Lgea Masat (1922141120),1922141120,,1.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Igabi Local Government Area,kd Rigasa Ward,PRY Lgea Mashi Gwari Rigasa Primary School (1904122120),KPS3dGnKAoc,PRY Lgea Mashi Gwari Rigasa Primary School (1904122120),1904122120,,0.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Kagarko Local Government Area,kd Jere North Ward,PRY Lgea Maskwani Jere Primary School (1911131120),beSipamzhto,PRY Lgea Maskwani Jere Primary School (1911131120),1911131120,,1.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Kubau Local Government Area,kd Zuntu Ward,PRY Lgea Matangi Primary School Matangi (1915077120),o7Mi8hcYVhw,PRY Lgea Matangi Primary School Matangi (1915077120),1915077120,,1.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Soba Local Government Area,kd Maigana Ward,PRY Lgea Matari Primary School (1921083120),Nh209SDI5Ob,PRY Lgea Matari Primary School (1921083120),1921083120,,0.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Kauru Local Government Area,kd Dawaki Ward,PRY Lgea Matarkako (1913148120),mZ2wIfb02ZC,PRY Lgea Matarkako (1913148120),1913148120,,1.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Zangon Kataf Local Government Area,kd Madakiya Ward,PRY Lgea Matsirga (1922142120),STosxMsBIV2,PRY Lgea Matsirga (1922142120),1922142120,,0.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Kaura Local Government Area,kd Bondong Ward,PRY Lgea Matuak (1912948120),Ew9EY8uY0H8,PRY Lgea Matuak (1912948120),1912948120,,0.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Lere Local Government Area,kd Gure/Kahugu Ward,PRY Lgea Mayala (1917154120),K7CshCbcYk3,PRY Lgea Mayala (1917154120),1917154120,,0.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Makarfi Local Government Area,kd Mayere Ward,PRY Lgea Mayere (Ii) Primary School (1918044120),xYEdasFz8Jr,PRY Lgea Mayere (Ii) Primary School (1918044120),1918044120,,1.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Sanga Local Government Area,kd Ayu Ward,PRY Lgea Mayir (1920064120),E7YavTCr3zG,PRY Lgea Mayir (1920064120),1920064120,,1.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Kagarko Local Government Area,kd Kurmin Jibrin Ward,PRY Lgea Mendor (1911132120),M1DQLj6oYHb,PRY Lgea Mendor (1911132120),1911132120,,1.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Kaura Local Government Area,kd Zankan Ward,PRY Lgea Mifi Primary School (1912049120),LKfLfi1YSNB,PRY Lgea Mifi Primary School (1912049120),1912049120,,1.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Kaura Local Government Area,kd Bondong Ward,PRY Lgea Model Bondon Primary School (1912051120),hvAyeSPoKkT,PRY Lgea Model Bondon Primary School (1912051120),1912051120,,1.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Kaura Local Government Area,kd Zankan Ward,PRY Lgea Model Fadan Attakar Primary School (1912052120),L6Em8qCffdS,PRY Lgea Model Fadan Attakar Primary School (1912052120),1912052120,,1.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Makarfi Local Government Area,kd Gimi Ward,PRY Lgea Model Gimi-Gari Primary School (1918045120),DszcLZER6RL,PRY Lgea Model Gimi-Gari Primary School (1918045120),1918045120,,1.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Igabi Local Government Area,kd Igabi Ward,PRY Lgea Model Igabi Primary School (1904123120),AuuFNhMMxqW,PRY Lgea Model Igabi Primary School (1904123120),1904123120,,1.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Kachia Local Government Area,kd Kachia Ward,PRY Lgea Model Kachia Primary School (1908141120),Irz65lBhd4x,PRY Lgea Model Kachia Primary School (1908141120),1908141120,,1.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Kagarko Local Government Area,kd Kagarko North Ward,PRY Lgea Model Kagarko Primary School (1911133120),RsDenQ1VKO8,PRY Lgea Model Kagarko Primary School (1911133120),1911133120,,1.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Jema'a Local Government Area,kd Maigizo Ward,PRY Lgea Model Practice Schoolkafkewaye (1907223151),uJhub1m0vWz,PRY Lgea Model Practice Schoolkafkewaye (1907223151),1907223151,,1.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Kachia Local Government Area,kd Sabon Sarki Ward,PRY Lgea Model Sabon Sarki Primary School (I) (1908142120),RoBCm5r1itX,PRY Lgea Model Sabon Sarki Primary School (I) (1908142120),1908142120,,1.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Makarfi Local Government Area,kd Makarfi Ward,PRY Lgea Model Sada Primary School (1918046120),Z7qoIBXFx9L,PRY Lgea Model Sada Primary School (1918046120),1918046120,,0.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Kaura Local Government Area,kd Kadarko Ward,PRY Lgea Model Safio - Mafok Primary School (1912054120),ONxq9sG4GIg,PRY Lgea Model Safio - Mafok Primary School (1912054120),1912054120,,1.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Zangon Kataf Local Government Area,kd Zonkwa Ward,PRY Lgea Model School 5 (1922203120),XVV2PZgnkvh,PRY Lgea Model School 5 (1922203120),1922203120,,1.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Soba Local Government Area,kd Soba Ward,PRY Lgea Model Soba Primary School (1921084120),Y2Yv83tj2hc,PRY Lgea Model Soba Primary School (1921084120),1921084120,,0.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Kaduna North Local Government Area,kd Unguwar Rimi Ward,PRY Lgea Model Ungwan Rimi Low/Cost Primary School Ungwan Rimi Low/Cost (1909054120),QqjSyfV48lD,PRY Lgea Model Ungwan Rimi Low/Cost Primary School Ungwan Rimi Low/Cost (1909054120),1909054120,,1.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Zaria Local Government Area,kd Kwarbai A Ward,PRY Lgea Mohammed Jumare Nur Primary School (1923070120),qpDOZJTwWni,PRY Lgea Mohammed Jumare Nur Primary School (1923070120),1923070120,,1.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Kajuru Local Government Area,kd Idon Ward,PRY Lgea Mokoro Iri (1914102120),J5ghgEb1BmU,PRY Lgea Mokoro Iri (1914102120),1914102120,,1.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Kajuru Local Government Area,kd Idon Ward,PRY Lgea Mokoro Zankarya (1914101120),eU38AgauNMc,PRY Lgea Mokoro Zankarya (1914101120),1914101120,,1.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Kaduna South Local Government Area,kd Tudun Wada North Ward,PRY Lgea Muazu Ii (1910047120),y7CHKFBYHTh,PRY Lgea Muazu Ii (1910047120),1910047120,,1.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Kauru Local Government Area,kd Kauru West Ward,PRY Lgea Munkari (1913027120),dHwT9O3j0vC,PRY Lgea Munkari (1913027120),1913027120,,1.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Giwa Local Government Area,kd Wazata Ward,PRY Lgea Murai (1903091120),NEinvQjGE39,PRY Lgea Murai (1903091120),1903091120,,1.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Kudan Local Government Area,kd Sabon Gari Ward (Kudan),PRY Lgea Musawa (1916063120),C9vn3ax9gTu,PRY Lgea Musawa (1916063120),1916063120,,1.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Sanga Local Government Area,kd Wasa Ward,PRY Lgea Musulmi (1920214120),EZmlahk0xFe,PRY Lgea Musulmi (1920214120),1920214120,,0.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Chikun Local Government Area,kd Kakau Ward,PRY Lgea Nabarka Primary School Nabarka (1902093120),Qaph1HltT6T,PRY Lgea Nabarka Primary School Nabarka (1902093120),1902093120,,1.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Sanga Local Government Area,kd Namdu Ward,PRY Lgea Nandu A (1920066120),GA4PxXKolzN,PRY Lgea Nandu A (1920066120),1920066120,,1.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Sanga Local Government Area,kd Namdu Ward,PRY Lgea Nandu B (1920065120),FrXjMPr8hYW,PRY Lgea Nandu B (1920065120),1920065120,,1.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Chikun Local Government Area,kd Narayi Ward,PRY Lgea Narayi Primary School Narayi (1902095120),Kle3pMPTUUY,PRY Lgea Narayi Primary School Narayi (1902095120),1902095120,,1.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Giwa Local Government Area,kd Shika Ward,PRY Lgea Nas Buhari (1903093120),TpgCh9ItwwF,PRY Lgea Nas Buhari (1903093120),1903093120,,0.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Kachia Local Government Area,kd Bishini Ward,PRY Lgea Nasarawa Bishini Primary School (1908256120),q3zgFWjkpRC,PRY Lgea Nasarawa Bishini Primary School (1908256120),1908256120,,1.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Makarfi Local Government Area,kd Nasarawa Doya Ward,PRY Lgea Nasarawa Doya Primary School (1918047120),WWONzjh1jNY,PRY Lgea Nasarawa Doya Primary School (1918047120),1918047120,,1.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Kauru Local Government Area,kd Dawaki Ward,PRY Lgea Nasarawa Kware (1913149120),caqqNecJalP,PRY Lgea Nasarawa Kware (1913149120),1913149120,,1.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Giwa Local Government Area,kd Idasu Ward,PRY Lgea Nasarawan Fatika (1903107120),Ahq3pOexc3O,PRY Lgea Nasarawan Fatika (1903107120),1903107120,,0.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Giwa Local Government Area,kd Gangara Ward,PRY Lgea Nasarawan Gangara (1903094120),w1SsIeIzDzj,PRY Lgea Nasarawan Gangara (1903094120),1903094120,,1.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Kubau Local Government Area,kd Pambeguwa Ward,PRY Lgea Nasaru Primary School Nasaru (1915078120),MC4wzRgO47z,PRY Lgea Nasaru Primary School Nasaru (1915078120),1915078120,,1.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Lere Local Government Area,kd Gure/Kahugu Ward,PRY Lgea Natare (1917155120),tQuSJuEHjvr,PRY Lgea Natare (1917155120),1917155120,,0.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Jaba Local Government Area,kd Sab Zuro Ward,PRY Lgea Ngaratsi Primary School (1906045120),W9sTKyyS0BL,PRY Lgea Ngaratsi Primary School (1906045120),1906045120,,0.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Jema'a Local Government Area,kd Barde Ward,PRY Lgea Ngataik Primary School (1907085120),Mp2Q7h8TkQE,PRY Lgea Ngataik Primary School (1907085120),1907085120,,1.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Jaba Local Government Area,kd Fada Ward (Jaba),PRY Lgea Ngatsang Primary School (1906046120),bLuCESlloY5,PRY Lgea Ngatsang Primary School (1906046120),1906046120,,1.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Kajuru Local Government Area,kd Kufana Ward,PRY Lgea Ngwaku I (1914103120),wsm7aHlC0QI,PRY Lgea Ngwaku I (1914103120),1914103120,,1.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Jema'a Local Government Area,kd Gidan Waya Ward,PRY Lgea Nimbia Primary School (1907086120),MlatBajYi3S,PRY Lgea Nimbia Primary School (1907086120),1907086120,,0.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Jema'a Local Government Area,kd Godo Godo Ward,PRY Lgea Nindem Godogodo Primary School (1907087120),f3psoZhvLT3,PRY Lgea Nindem Godogodo Primary School (1907087120),1907087120,,0.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Kauru Local Government Area,kd Geshere Ward,PRY Lgea Ningi (1913151120),W9rLGMYBqH9,PRY Lgea Ningi (1913151120),1913151120,,1.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Sanga Local Government Area,kd Namdu Ward,PRY Lgea Ningon Gari (1920067120),DUzWNjPKybG,PRY Lgea Ningon Gari (1920067120),1920067120,,1.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Jema'a Local Government Area,kd Godo Godo Ward,PRY Lgea Ninte Sarki Primary School (1907088120),jAD0k4PKDm6,PRY Lgea Ninte Sarki Primary School (1907088120),1907088120,,0.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Jema'a Local Government Area,kd Gidan Waya Ward,PRY Lgea Nisama Primary School (1907089120),XxoB5fuNwRR,PRY Lgea Nisama Primary School (1907089120),1907089120,,1.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Kagarko Local Government Area,kd Katugal Ward,PRY Lgea Nkojo Primary School (1911134120),u6PSNq8AfPC,PRY Lgea Nkojo Primary School (1911134120),1911134120,,1.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Jaba Local Government Area,kd Nok Ward,PRY Lgea Nok (1906047120),BuCl1MxXzEc,PRY Lgea Nok (1906047120),1906047120,,1.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Kaduna North Local Government Area,kd Kawo Ward,PRY Lgea Nomadic Nursery And Primary School Rafin Guza (1909056120),TgNrW0t9v0Q,PRY Lgea Nomadic Nursery And Primary School Rafin Guza (1909056120),1909056120,,0.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Kagarko Local Government Area,kd Iddah Ward,PRY Lgea Nomadic Rugan Kanya (1911135120),RXiNhv9PxpM,PRY Lgea Nomadic Rugan Kanya (1911135120),1911135120,,1.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Chikun Local Government Area,kd Kakau Ward,PRY Lgea Nomadic Sabon Gayan Primary School Sabon Gayan (1902098120),Ur8fP3sicEs,PRY Lgea Nomadic Sabon Gayan Primary School Sabon Gayan (1902098120),1902098120,,1.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Makarfi Local Government Area,kd Gwanki Ward,PRY Lgea Nomadic Ung Fulani Bakutaje (1918048120),qVar0xiO0Zc,PRY Lgea Nomadic Ung Fulani Bakutaje (1918048120),1918048120,,0.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Makarfi Local Government Area,kd Gubuchi Ward,PRY Lgea Nomadic Ung Malam Hari Primary School (1918049120),oNeOCwe60Nb,PRY Lgea Nomadic Ung Malam Hari Primary School (1918049120),1918049120,,0.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Zaria Local Government Area,kd Kwarbai A Ward,PRY Lgea Nuhu Bature Makaranta Primary School (1923072120),j2WI2LkIpdj,PRY Lgea Nuhu Bature Makaranta Primary School (1923072120),1923072120,,1.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Sanga Local Government Area,kd Namdu Ward,PRY Lgea Numbu Sarki (1920077120),zXBeJ8GVq2w,PRY Lgea Numbu Sarki (1920077120),1920077120,,1.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Sanga Local Government Area,kd Arak Ward,PRY Lgea Nunkuchu (1920078120),jYMaA7Wsl0w,PRY Lgea Nunkuchu (1920078120),1920078120,,0.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Kaduna North Local Government Area,kd Kawo Ward,PRY Lgea Nursery And Primary Rafin Guza Kawo Rafin Guza Kawo (1909058120),SJcc1r1Qj8u,PRY Lgea Nursery And Primary Rafin Guza Kawo Rafin Guza Kawo (1909058120),1909058120,,0.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Kaduna North Local Government Area,kd Badarawa/Malali Ward,PRY Lgea Nursery And Primary School Badarawa (1909036130),fzjqX47Hqht,PRY Lgea Nursery And Primary School Badarawa (1909036130),1909036130,,1.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Kaduna North Local Government Area,kd Unguwar Rimi Ward,PRY Lgea Nursery And Primary School Ibrahim Taiwo Road (KD12300180),a4LVIf33YZx,PRY Lgea Nursery And Primary School Ibrahim Taiwo Road (KD12300180),KD12300180,,0.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Kaduna North Local Government Area,kd Shaba Ward,PRY Lgea Nursery And Primary School Muri Road (KD12300232),Fwm1ek9RCj4,PRY Lgea Nursery And Primary School Muri Road (KD12300232),KD12300232,,0.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Kachia Local Government Area,kd Ankwa Ward,PRY Lgea Pachi Primary School (1908143120),CNJn6fbgDuM,PRY Lgea Pachi Primary School (1908143120),1908143120,,0.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Kagarko Local Government Area,kd Kagarko North Ward,PRY Lgea Pah-Baki Primary School (1911136120),kPz1lcm6xyF,PRY Lgea Pah-Baki Primary School (1911136120),1911136120,,1.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Kagarko Local Government Area,kd Iddah Ward,PRY Lgea Pakau Kagarko Primary School (1911137120),kFzPss2P4Ab,PRY Lgea Pakau Kagarko Primary School (1911137120),1911137120,,1.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Jema'a Local Government Area,kd Kagoma Ward,PRY Lgea Paki (Ii) Primary School (1907090120),CHE0fUuqTI3,PRY Lgea Paki (Ii) Primary School (1907090120),1907090120,,1.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Ikara Local Government Area,kd Pala Ward,PRY Lgea Pala Central (1905061120),p64BhYKSHtK,PRY Lgea Pala Central (1905061120),1905061120,,1.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
